step,time,dt,cfl,max_speed,kinetic_energy,enstrophy,circulation,poisson_iters,poisson_residual,frame
99,0.077344,7.813e-4,0.4000,0.720168,8.36598604e-4,4.37309222e1,-8.52353024e-1,3,3.784e-12,-1
100,0.078125,7.813e-4,0.4000,0.721511,8.42738084e-4,4.35917291e1,-8.53068679e-1,3,3.624e-12,-1
101,0.078906,7.813e-4,0.4000,0.722835,8.48848076e-4,4.34541889e1,-8.53773065e-1,3,3.066e-12,-1
102,0.079687,7.813e-4,0.4000,0.724141,8.54928982e-4,4.33182724e1,-8.54466472e-1,3,3.318e-12,-1
103,0.080469,7.813e-4,0.4000,0.725427,8.60981197e-4,4.31839512e1,-8.55149179e-1,3,3.325e-12,-1
104,0.081250,7.813e-4,0.4000,0.726696,8.67005108e-4,4.30511973e1,-8.55821456e-1,3,3.105e-12,-1
105,0.082031,7.813e-4,0.4000,0.727947,8.73001092e-4,4.29199835e1,-8.56483563e-1,3,3.546e-12,-1
106,0.082812,7.813e-4,0.4000,0.729181,8.78969517e-4,4.27902830e1,-8.57135750e-1,3,3.311e-12,-1
107,0.083594,7.813e-4,0.4000,0.730398,8.84910747e-4,4.26620696e1,-8.57778260e-1,3,3.354e-12,-1
108,0.084375,7.813e-4,0.4000,0.731598,8.90825134e-4,4.25353179e1,-8.58411328e-1,3,3.503e-12,-1
109,0.085156,7.813e-4,0.4000,0.732782,8.96713025e-4,4.24100026e1,-8.59035179e-1,3,3.645e-12,-1
110,0.085937,7.813e-4,0.4000,0.733951,9.02574758e-4,4.22860994e1,-8.59650032e-1,3,3.666e-12,-1
111,0.086719,7.813e-4,0.4000,0.735104,9.08410667e-4,4.21635842e1,-8.60256099e-1,3,3.595e-12,-1
112,0.087500,7.813e-4,0.4000,0.736242,9.14221075e-4,4.20424336e1,-8.60853585e-1,3,3.197e-12,-1
113,0.088281,7.813e-4,0.4000,0.737366,9.20006301e-4,4.19226245e1,-8.61442687e-1,3,3.432e-12,-1
